"points","total_rebounds","assists","steals","blocks","missed_field_goals","missed_free_throws","turnovers","games","player","position","salary","Eff"
-0.0577397617116878,-0.638569746292372,-0.0927759939195222,-0.537903928449558,-0.924912642316057,-0.243909981944064,0.732987561845113,0.909795106871578,26,"Channing Frye","C",7807579,-3.6825667572914
-1.37251780585352,-1.44776296304436,-1.06531791078025,-0.963988878378699,-1.09793564945936,1.29664171838545,0.58405153876746,1.23922464852065,25,"Sasha Kaun","C",1300000,-7.02277694667512
-0.313696668259522,-0.365123856203907,-0.718064606733689,-0.590463749575685,-0.214282434406041,0.446991600244026,0.446292975511424,0.25960522203789,76,"Timofey Mozgov","C",4950000,-2.35371790185096
-0.455418712256339,0.768353335386053,-0.807087545937521,-0.757116840951212,1.18663119921508,0.664169452508785,-0.353424711282303,0.361963274860932,82,"Bismack Biyombo","C",3e+06,-1.01231653685799
0.987481277564244,1.12842231434304,-0.424324374667499,-0.223518331713647,0.722925520953545,-0.450750297569436,-0.144999487779324,-0.462827983332874,60,"Jonas Valanciunas","C",4660482,2.33734944635004
-1.11002168116825,-1.27354131649413,-0.931174198109809,-0.231808418442991,-0.754446625426098,1.18300853545054,0.58240303446775,1.090516642259,29,"Lucas Nogueira","C",1842000,-5.79805908015534
-0.409202976672893,-0.417746855122938,-0.624103527169485,-0.426944306072177,-0.152488503283431,0.548244418323315,0.480164065879962,0.305073046152134,52,"Amar'e Stoudemire","C",1499187,-2.4511121493209
1.27484798482972,2.0000453330465,-0.743761399041121,0.313293174719388,4.5011024055734,-0.353457752887759,-1.01190386360803,-1.15170358153013,73,"Hassan Whiteside","C",981348,7.36461273224678
1.47054752667476,0.538853121934893,2.34666534410421,0.966816804277844,0.95151282713881,-1.65019105140828,0.491936335093416,-0.295434923551843,82,"Al Horford","C",1.2e+07,4.35205011694335
-0.909656032758957,-1.15750354054054,-0.571679210555489,-0.800508368076025,-0.696275097162399,0.832414092070026,0.711535871278373,0.984665457246366,60,"Mike Muscala","C",947276,-5.37663446570833
-0.44613208259273,-0.716266689481617,-0.276969538779509,0.177169193538005,-0.883716688234317,0.445557736807173,0.572099882594562,0.660227272288951,36,"Tiago Splitter","C",8500000,-3.34448225346379
-1.10379431058832,-1.17055216592783,-0.896529644217648,-1.16331270912207,-0.542913795376285,1.09692279080289,0.327634188148919,0.977859061757749,11,"Walter Tavares","C",1e+06,-5.56214645099152
0.422615445125649,-0.480508916783816,0.483829885642177,0.74858444694036,-0.650869991250569,-0.699849781683881,0.316611580347828,0.0525838489573354,69,"Kelly Olynyk","C",2165160,0.366025889972932
-0.350116407201154,-0.833221035545428,-0.663775982985482,-0.944755877166619,-0.830161947928055,0.211264451225446,0.472502747820411,0.510486571539374,60,"Tyler Zeller","C",2616975,-3.4703212592246
0.820105456045254,0.263254235965776,0.448047605882142,0.415876655390052,-0.017725142856462,-1.25918385867986,-0.120841884876657,0.575268009452311,47,"Al Jefferson","C",13833333,0.533217162208172
0.180895178762269,0.208590218993104,-0.12305438485541,0.82705142627493,-0.0327098559704264,0.0697480225975528,-0.0623202224736587,0.263653726924775,73,"Cody Zeller","C",4204200,-0.149394674130836
-0.0690590278940131,-0.460305999442973,0.139171432941202,-0.0721474888408007,-0.566355264197208,-0.423204187765899,0.280686043810936,0.586281247227431,81,"Frank Kaminsky","C",2612500,-1.739469342321
0.291355972928284,0.498201615995347,0.420890511464667,1.21557066742961,0.277893171929677,0.182716432150306,-0.694607338547102,-0.450525343599927,71,"Ian Mahinmi","C",4e+06,2.73800810892049
0.199944108221155,0.19111260812429,0.119172742631696,-0.0028657493147922,-0.604938588009939,-0.36689285687142,0.281494544143958,-0.228644467320408,73,"Jordan Hill","C",4e+06,0.435667270040181
0.494159359173045,-0.0145406130987501,-0.442743729153498,-0.223518331713647,0.883589741872331,-0.720460010041424,0.213550197407619,-0.0136058810841439,60,"Myles Turner","C",2357760,0.781816915688924
1.66731640447471,2.93806439291625,-0.283791521922472,2.81280269297109,0.802265876962822,-1.62191402097474,-4.70654826043543,-1.20690986051441,81,"Andre Drummond","C",3272091,11.5865256439021
-0.294689733795034,-0.267351017721534,-0.502094982497271,-0.677630860332185,-0.387839463176335,0.303286620239457,0.295441174888588,0.419902690839013,81,"Aron Baynes","C",6500000,-2.48775045582413
-1.36708098358089,-1.42694620862535,-1.13977088049208,-1.12190194096209,-0.404542696020393,1.35032556546121,0.745084379833877,1.50087682035675,19,"Joel Anthony","C",2500000,-7.52905080257233
-1.18004500368926,-1.28331806433646,-0.829550173359471,-1.10503088726728,-1.15149038976563,0.717991789809182,0.804493197067581,1.32574149784262,18,"Cameron Bairstow","C",845059,-6.79968646888656
-0.882421330617853,-0.729985674357137,-0.271027811525961,-0.867203452924364,-0.745510906798802,0.947363686046357,0.485353991017076,1.03055373650833,31,"Cristiano Felicio","C",525090,-5.16122861584535
-0.705865330530702,1.0252165199325,2.99405375787199,0.365077826069814,0.187378117890925,0.0669683459112784,-0.0769986854162827,-1.02650705799364,29,"Joakim Noah","C",13400000,4.34011975635837
1.7197387559816,1.73357245344594,3.31480458599024,0.257306698588335,1.838649277334,-2.14256576671191,-0.125080060824493,-1.75226179534312,72,"Pau Gasol","C",7448760,9.82998650600394
1.12521410847078,1.37189999842134,0.364023997333246,0.38232120646685,0.637237936463526,-0.710652384133352,-0.101176748478697,-0.757318028140374,75,"Marcin Gortat","C",11217391,3.97538162084506
-0.681889953797966,-0.525620106556282,-0.950228702750497,-0.331289459195125,-0.145030615044495,0.79408543909595,0.47937151573587,0.832343020276969,58,"Dewayne Dedmon","C",947278,-4.09554719569357
-0.128112831068908,-0.860361158914303,-0.296358332975297,-0.172905170629228,-0.0451622018599502,-0.21760410273719,0.666455062906916,0.535443354997637,76,"Jason Smith","C",4300000,-2.23649035147915
2.05409572992477,1.04704498963431,1.84550684737634,0.926763086931863,0.310965980136145,-2.41667633696316,0.190566243228969,-1.17505618818022,65,"Nikola Vucevic","C",11250000,7.05243813798016
1.48738305673086,1.03064632767404,1.29217293831886,1.20374077722072,-0.0566687999603963,-1.3397474434351,-0.339403009072666,-0.786634350987549,79,"Greg Monroe","C",16400000,5.19654360265644
-0.171677112099569,-0.54279373598984,-0.150942376506887,-0.514544007949057,1.65308679995704,0.360959794032865,-0.135563969748088,-0.0228004855161353,57,"John Henson","C",2943221,0.233114304746965
-0.532703593191691,-0.566369912112202,-0.908058897398154,-0.432401336680901,-0.102344247700329,0.705933233364831,0.381069312617912,0.676592376196008,61,"Miles Plumlee","C",2109294,-3.56517025138408
-0.781359225123662,-0.942201221650343,-0.115800187027021,-0.944755877166619,-0.214282434406041,0.217394217417991,0.771294152142864,0.317071499737838,48,"Kevin Seraphin","C",2800000,-2.78160146341195
0.484549716303745,0.562192126692638,0.338506452581911,-0.862663798822379,1.10825840852299,-0.370415475598843,0.38991000191014,-0.770222511294403,82,"Robin Lopez","C",1.3e+07,2.45568358143158
-0.242440657286763,-1.1068849599319,-0.765482853408171,-1.17471567426757,-1.10492105036888,-0.166826634506038,0.611072674462708,0.812138128121854,46,"Andrea Bargnani","C",1362900,-4.37678955482297
2.52935605347922,0.724179739623106,1.02752447070835,0.866571291779202,1.30982678458381,-2.34857069446137,-0.537112043040843,-1.93117572241833,73,"Brook Lopez","C",2e+07,9.54618891866775
-0.264033387884569,-0.139089397218653,-0.487476447190923,0.429029923696186,0.187378117890925,-0.0876346240681867,0.444046423599225,0.375006889908805,14,"Henry Sims","C",161622,-1.15656817702844
-0.737295236163532,-0.597436070486301,-0.0277665074983502,0.101745659372988,-0.663197169326179,0.270879432235297,0.800587427076438,0.689588194004554,17,"Elton Brand","C",890693,-3.25501906772365
1.92302503466524,0.46531323901898,0.157449199097819,-0.228054416905175,0.429890149466451,-2.09938753944367,-0.504676687699559,-1.84486872767252,53,"Jahlil Okafor","C",4582680,7.39127864406748
0.659555378491421,0.800807324588986,0.814445943450564,3.65537612915533,0.97870935525211,-0.603110058255783,-0.788069943052423,-1.87270000407205,67,"Nerlens Noel","C",3457800,8.97667018756789
