"","roster.No.","roster.Player","roster.Pos","roster.Ht","roster.Wt","roster.Birth.Date","roster..","roster.Exp","roster.College"
"1","41","Cameron Bairstow","C","6-9","250","December 7, 1990","au","1","University of New Mexico"
"2","0","Aaron Brooks","PG","6-0","161","January 14, 1985","us","7","University of Oregon"
"3","21","Jimmy Butler","SG","6-7","220","September 14, 1989","us","4","Marquette University"
"4","34","Mike Dunleavy","SF","6-9","230","September 15, 1980","us","13","Duke University"
"5","6","Cristiano Felicio","C","6-10","275","July 7, 1992","br","R",""
"6","16","Pau Gasol","C","7-0","250","July 6, 1980","es","14",""
"7","22","Taj Gibson","PF","6-9","225","June 24, 1985","us","6","University of Southern California"
"8","12","Kirk Hinrich","PG","6-4","190","January 2, 1981","us","12","University of Kansas"
"9","7","Justin Holiday","SG","6-6","185","April 5, 1989","us","2","University of Washington"
"10","3","Doug McDermott","SF","6-8","225","January 3, 1992","us","1","Creighton University"
"11","44","Nikola Mirotic","PF","6-10","220","February 11, 1991","me","1",""
"12","55","E'Twaun Moore","SG","6-4","191","February 28, 1989","us","4","Purdue University"
"13","13","Joakim Noah","C","6-11","230","February 25, 1985","us","8","University of Florida"
"14","5","Bobby Portis","PF","6-11","230","February 10, 1995","us","R","University of Arkansas"
"15","1","Derrick Rose","PG","6-3","190","October 4, 1988","us","6","University of Memphis"
"16","20","Tony Snell","SF","6-7","200","November 10, 1991","us","2","University of New Mexico"
